Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file KERNEL32.DLL

File Type: DLL

  Section contains the following exports for KERNEL32.dll

    00000000 characteristics
    2C4857D3 time date stamp Sat Jul 17 15:49:39 1993
        0.00 version
           1 ordinal base
         543 number of functions
         543 number of names

    ordinal hint RVA      name

        512  1FF 000067D0 WritePrivateProfileSectionW
        513  200 000063A0 WritePrivateProfileStringA
        514  201 000066D0 WritePrivateProfileStringW
        515  202 00018430 WriteProcessMemory
        516  203 00006130 WriteProfileSectionA
        517  204 000061E0 WriteProfileSectionW
        518  205 000060F0 WriteProfileStringA
        519  206 000061A0 WriteProfileStringW
        520  207 00022B70 WriteTapemark
        521  208 0000EE40 _hread
        522  209 0000EE80 _hwrite
        523  20A 0000EED0 _lclose
        524  20B 0000EE10 _lcreat
        525  20C 0000EEF0 _llseek
        526  20D 0000EDC0 _lopen
        527  20E 0000EE40 _lread
        528  20F 0000EE80 _lwrite
        529  210 0000F250 lstrcat
        530  211 0000F250 lstrcatA
        531  212 0000F380 lstrcatW
        532  213 0000F020 lstrcmp
        533  214 0000F020 lstrcmpA
        534  215 0000F300 lstrcmpW
        535  216 0000F140 lstrcmpi
        536  217 0000F140 lstrcmpiA
        537  218 0000F330 lstrcmpiW
        538  219 0000F220 lstrcpy
        539  21A 0000F220 lstrcpyA
        540  21B 0000F360 lstrcpyW
        541  21C 0000F290 lstrlen
        542  21D 0000F290 lstrlenA
        543  21E 0000F3A0 lstrlenW

  Summary

        2000 .bss
        3000 .data
        4000 .edata
        2000 .idata
        1000 .rdata
        4000 .reloc
        F000 .rsrc
       38000 .text

